4773588 1       6144    2.41227 19.6489 56
4773588 1       384     0.236523        5.62956 60
4773588 12      32      0.238185        5.00255 43
4773588 12      512     0.101095        3.63287 59
4773588 12      8       0.549443        8.89348 28
4773588 1       96      0.359527        15.4075 49
4773588 1       1536    0.287793        3.94651 58
4773588 12      128     0.146248        3.31732 58
4773588 1       768     0.210894        3.60087 60
4773588 24      8       0.755109        5.30567 28
4773588 24      16      0.324191        3.35305 32
4773588 4       192     0.155519        2.52845 48
4773588 12      64      0.17559 2.87504 46
4773588 12      16      0.527991        5.28299 32
4773588 4       96      0.204621        4.38981 49
4773588 24      32      0.268007        3.31519 44
4773588 4       48      0.265336        6.77731 43
4773588 4       24      0.406817        10.3506 34
4773588 24      4       0.812299        7.42794 23
4773588 1       192     0.36162 21.2937 49
4773588 1       3072    0.693418        7.20706 57
4773588 12      256     0.139442        2.66836 57
4773588 4       768     0.10138 2.96373 60
4773588 24      128     0.143942        3.27205 59
4773588 4       384     0.115759        2.79267 59
4773588 24      64      0.18989 2.82649 46
4773588 4       1536    0.178068        5.01552 58
4773588 24      256     0.138509        4.15157 57
