134217728	1	1536	0.383738	3.71736	130	
134217728	1	96	3.37965	71.6908	159	
134217728	12	128	0.628007	4.91892	163	
134217728	1	384	1.14329	16.3056	150	
134217728	12	32	2.49441	18.252	160	
134217728	12	8	6.3216	64.8405	141	
134217728	1	6144	0.821799	1.19432	85	
134217728	12	512	0.355593	1.36955	110	
134217728	1	3072	0.394346	2.16477	109	
134217728	12	256	0.88807	3.14351	156	
134217728	1	768	0.690481	6.6618	118	
134217728	12	64	0.802101	8.38712	145	
134217728	1	192	2.10018	34.4709	162	
134217728	12	16	3.18007	35.3044	154	
134217728	24	256	0.288065	1.90465	156	
134217728	24	128	1.56299	3.05717	163	
134217728	24	64	0.766202	4.55816	145	
134217728	24	32	2.30292	9.84199	160	
134217728	24	16	2.44743	18.3133	154	
134217728	24	8	5.95688	33.1869	141	
134217728	24	4	12.1452	65.5094	141	
134217728	24	800	0.429865	1.76706	129	
134217728	12	1600	0.321439	1.89941	129	

